ID;UF;LON;LAT;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
36760;Alagoas;-37.7490;-9.3005;5483;5966;5880;6035;5556;4742;4320;4412;4977;5719;5898;6292;6002
36761;Alagoas;-37.6490;-9.3005;5473;5943;5864;5991;5550;4646;4341;4448;4980;5690;5920;6280;6020
36762;Alagoas;-37.5490;-9.3005;5490;5973;5857;6015;5540;4639;4341;4477;5033;5749;5968;6266;6022
36763;Alagoas;-37.4490;-9.3005;5505;5960;5845;6022;5504;4720;4342;4521;5116;5831;5984;6249;5968
36764;Alagoas;-37.3490;-9.3005;5493;5871;5804;6064;5548;4745;4300;4545;5033;5821;5962;6267;5957
36765;Alagoas;-37.2490;-9.3005;5449;5821;5761;6013;5503;4687;4269;4476;4961;5822;5933;6208;5936
36766;Alagoas;-37.1490;-9.3005;5415;5817;5756;5989;5465;4656;4253;4388;4865;5741;5924;6164;5961
36767;Alagoas;-37.0490;-9.3005;5363;5783;5648;5897;5387;4631;4214;4395;4863;5634;5813;6144;5952
36768;Alagoas;-36.9490;-9.3005;5421;5779;5704;5921;5426;4672;4288;4444;4984;5749;5893;6183;6010
36769;Alagoas;-36.8490;-9.3005;5399;5729;5732;5924;5466;4664;4264;4377;4955;5696;5853;6141;5984
36770;Alagoas;-36.7490;-9.3005;5397;5696;5763;5870;5459;4618;4233;4404;4954;5724;5832;6222;5989
36771;Alagoas;-36.6490;-9.3005;5325;5709;5708;5865;5365;4487;4061;4206;4751;5603;5843;6266;6033
36772;Alagoas;-36.5490;-9.3005;5218;5627;5585;5819;5303;4440;3949;4079;4631;5485;5661;6096;5943
36773;Alagoas;-36.4490;-9.3005;5263;5614;5674;5839;5378;4523;4042;4180;4745;5499;5686;6095;5882
36774;Alagoas;-36.3490;-9.3005;5166;5558;5592;5753;5337;4438;3966;4063;4632;5339;5500;5983;5831
36775;Alagoas;-36.2490;-9.3005;5168;5544;5584;5751;5279;4469;4020;4092;4675;5357;5499;5939;5802
36776;Alagoas;-36.1490;-9.3005;5136;5470;5472;5746;5257;4438;4080;4116;4683;5345;5449;5845;5731
36777;Alagoas;-36.0490;-9.3005;5131;5473;5500;5765;5247;4403;4101;4108;4661;5353;5432;5807;5718
36778;Alagoas;-35.9490;-9.3005;5183;5481;5633;5831;5268;4457;4148;4180;4781;5414;5510;5810;5688
36779;Alagoas;-35.8490;-9.3005;5101;5398;5523;5751;5187;4400;4097;4159;4657;5276;5384;5759;5622
36780;Alagoas;-35.7490;-9.3005;5111;5390;5523;5733;5185;4410;4133;4207;4682;5320;5374;5753;5618
36781;Alagoas;-35.6490;-9.3005;5245;5527;5705;5887;5283;4535;4305;4319;4866;5453;5514;5808;5736
36782;Alagoas;-35.5490;-9.3005;5332;5639;5729;5997;5311;4631;4416;4408;5030;5530;5599;5870;5820
36783;Alagoas;-35.4490;-9.3005;5426;5735;5770;6091;5359;4731;4503;4505;5176;5634;5742;5960;5909
36784;Alagoas;-35.3490;-9.3005;5592;5898;5909;6241;5536;4822;4546;4672;5343;5878;5974;6177;6104
37134;Alagoas;-38.1490;-9.2005;5559;5949;5899;6034;5600;4879;4380;4580;5166;5937;6004;6269;6006
37135;Alagoas;-38.0490;-9.2005;5523;5911;5862;5996;5569;4827;4363;4538;5132;5875;5974;6235;5987
37136;Alagoas;-37.9490;-9.2005;5572;5962;5857;6099;5593;4822;4435;4557;5196;5905;6031;6348;6056
37137;Alagoas;-37.8490;-9.2005;5548;5964;5887;6090;5562;4803;4373;4519;5152;5871;6000;6318;6038
37138;Alagoas;-37.7490;-9.2005;5516;5999;5928;6064;5540;4730;4248;4400;5069;5823;6028;6320;6040
37139;Alagoas;-37.6490;-9.2005;5438;5876;5848;6083;5466;4660;4194;4296;4910;5706;5924;6270;6019
37140;Alagoas;-37.5490;-9.2005;5455;5880;5858;6061;5477;4677;4214;4344;4956;5732;5972;6280;6006
37141;Alagoas;-37.4490;-9.2005;5482;5931;5849;6041;5519;4703;4267;4435;5011;5790;5983;6288;5960
37142;Alagoas;-37.3490;-9.2005;5481;5868;5832;6028;5503;4690;4324;4516;5053;5812;5990;6172;5987
37143;Alagoas;-37.2490;-9.2005;5471;5881;5798;6041;5502;4693;4318;4490;4977;5795;5972;6187;5997
37144;Alagoas;-37.1490;-9.2005;5504;5884;5820;6080;5570;4745;4373;4535;5023;5804;5971;6224;6023
37145;Alagoas;-37.0490;-9.2005;5407;5742;5726;6004;5441;4619;4234;4397;4894;5718;5899;6239;5977
37151;Alagoas;-36.4490;-9.2005;5232;5630;5630;5804;5314;4463;4048;4116;4713;5471;5657;6057;5884
37152;Alagoas;-36.3490;-9.2005;5130;5545;5528;5736;5279;4402;3957;3993;4586;5306;5496;5933;5796
37153;Alagoas;-36.2490;-9.2005;5122;5518;5549;5700;5279;4429;3960;4041;4554;5326;5472;5860;5772
37154;Alagoas;-36.1490;-9.2005;5134;5470;5539;5706;5277;4468;4027;4107;4612;5360;5468;5843;5724
37155;Alagoas;-36.0490;-9.2005;5166;5454;5570;5730;5267;4489;4106;4160;4711;5450;5510;5832;5716
37156;Alagoas;-35.9490;-9.2005;5166;5535;5602;5742;5132;4426;4082;4145;4730;5396;5511;5944;5743
37157;Alagoas;-35.8490;-9.2005;5013;5352;5440;5649;5066;4330;4019;4024;4564;5198;5278;5683;5552
37158;Alagoas;-35.7490;-9.2005;5031;5315;5416;5670;5106;4391;4104;4109;4605;5257;5304;5631;5458
37159;Alagoas;-35.6490;-9.2005;5179;5503;5583;5813;5177;4526;4232;4259;4805;5404;5451;5740;5656
37160;Alagoas;-35.5490;-9.2005;5220;5562;5589;5851;5174;4587;4280;4326;4875;5425;5484;5781;5708
37161;Alagoas;-35.4490;-9.2005;5283;5624;5634;5939;5189;4609;4302;4376;4942;5481;5611;5883;5806
37162;Alagoas;-35.3490;-9.2005;5417;5672;5790;6123;5322;4694;4474;4506;5185;5644;5781;5968;5851
